Peer group,Province/territory,Region code,Region name,2013,2014,2015,2016,2017,2018,2019,2020,2021
F,Saskatchewan,4712,Keewatin Yatthé Health Region,"10,984","11,041","11,052","10,996","11,039","11,105","11,226","11,304","11,271"
F,Saskatchewan,4713,Athabasca Health Authority,"2,521","2,620","2,673","2,722","2,719","2,740","2,845","2,830","2,740"
D,Alberta,4831,South Zone,"289,387","293,376","296,087","299,059","300,805","303,493","305,937","307,967","308,346"
B,Alberta,4832,Calgary Zone,"1,501,944","1,546,775","1,575,526","1,602,335","1,623,652","1,649,350","1,681,326","1,712,691","1,726,962"
A,Alberta,4833,Central Zone,"462,370","468,903","472,523","473,270","473,612","475,378","476,750","476,648","475,379"
B,Alberta,4834,Edmonton Zone,"1,270,613","1,310,920","1,337,089","1,363,736","1,388,734","1,413,467","1,440,729","1,465,496","1,477,309"
A,Alberta,4835,North Zone,"456,697","463,674","463,266","457,661","454,297","456,587","457,834","457,227","454,883"
D,British Columbia,5911,East Kootenay HSDA,"78,886","80,217","81,679","82,935","83,704","84,852","85,901","86,589","87,613"
C,British Columbia,5912,Kootenay–Boundary HSDA,"78,904","79,316","80,164","81,434","82,109","82,946","83,785","84,263","84,989"
C,British Columbia,5913,Okanagan HSDA,"354,350","360,825","368,166","377,350","384,164","392,087","398,936","405,946","414,038"
C,British Columbia,5914,Thompson/Cariboo HSDA,"220,341","222,190","224,496","228,179","231,873","236,579","239,266","241,095","243,026"
B,British Columbia,5921,Fraser East HSDA,"291,103","294,959","300,818","309,349","316,585","324,893","331,410","335,281","339,900"
H,British Columbia,5922,Fraser North HSDA,"637,307","650,618","660,241","670,478","679,139","689,562","699,533","707,782","716,618"
H,British Columbia,5923,Fraser South HSDA,"771,667","790,009","805,317","821,970","832,855","845,875","879,396","897,917","918,188"
H,British Columbia,5931,Richmond HSDA,"200,037","202,768","205,067","207,266","210,072","213,410","213,875","215,393","216,280"
G,British Columbia,5932,Vancouver HSDA,"657,944","668,794","675,669","682,697","692,336","704,074","712,367","719,700","713,057"
H,British Columbia,5933,North Shore/Coast Garibaldi HSDA,"283,141","287,780","292,026","296,756","300,985","305,132","304,697","307,211","311,180"
B,British Columbia,5941,South Vancouver Island HSDA,"380,835","386,307","392,200","400,562","406,681","413,016","419,827","426,121","432,062"
C,British Columbia,5942,Central Vancouver Island HSDA,"266,673","270,728","275,184","280,982","285,846","290,209","294,154","296,970","300,307"
C,British Columbia,5943,North Vancouver Island HSDA,"121,357","122,697","124,487","126,815","129,040","131,301","133,156","134,677","136,577"
D,British Columbia,5951,Northwest HSDA,"74,153","74,819","74,645","74,743","74,779","75,047","75,690","76,449","77,014"
D,British Columbia,5952,Northern Interior HSDA,"143,308","144,014","144,958","146,614","148,133","150,049","151,087","151,707","152,023"
A,British Columbia,5953,Northeast HSDA,"70,071","71,062","71,271","71,120","71,083","71,444","71,716","71,627","71,933"
A,Yukon,6001,Yukon,"36,521","37,137","37,690","38,547","39,610","40,519","41,362","42,174","42,986"
A,Northwest Territories,6101,Northwest Territories,"43,805","43,884","44,237","44,649","44,891","44,981","45,070","45,372","45,504"
F,Nunavut,6201,Nunavut,"35,337","35,971","36,488","36,975","37,546","38,143","38,592","39,155","39,403"
